Date,Open,High,Low,Close,Change(Pips),Change(%)
2024-03-19 20:00:00,2154.52,2158.5,2154.32,2157.26,27500.0,0.1276392311940988
2024-03-20 00:00:00,2157.4,2159.6,2155.22,2157.14,-1200.000000003456,-0.005562611831688713
2024-03-20 04:00:00,2157.17,2160.23,2156.55,2156.89,-2500.0,-0.011589419323732031
2024-03-20 08:00:00,2156.87,2159.51,2154.54,2156.18,-7100.000000000364,-0.03291776585732098
2024-03-20 12:00:00,2156.17,2156.17,2149.62,2153.16,-30199.999999999818,-0.1400625179715953
2024-03-20 16:00:00,2153.23,2164.88,2150.5,2157.71,45500.00000000182,0.2113173196604201
2024-03-20 20:00:00,2157.7,2188.82,2156.51,2185.98,282699.9999999998,1.3101853353787218
2024-03-21 00:00:00,2186.5,2222.8,2186.24,2198.97,129899.99999999782,0.5942414843685517
2024-03-21 04:00:00,2199.01,2212.48,2197.97,2203.26,42900.000000004184,0.19509133821746794
2024-03-21 08:00:00,2203.26,2210.21,2196.85,2201.51,-17500.0,-0.07942775705092053
2024-03-21 12:00:00,2201.53,2211.78,2199.94,2207.7,61899.999999996,0.2811706510531309
2024-03-21 16:00:00,2207.7,2208.1,2166.44,2179.89,-278099.9999999995,-1.2596820220138527
2024-03-21 20:00:00,2179.91,2184.05,2178.57,2181.02,11300.000000001091,0.05183747803789718
2024-03-22 00:00:00,2180.98,2185.67,2180.69,2184.98,39600.000000000364,0.18156642304976156
2024-03-22 04:00:00,2184.98,2185.92,2171.8,2173.58,-114000.0000000009,-0.521743906122718
2024-03-22 08:00:00,2173.57,2176.31,2162.55,2167.95,-56300.00000000109,-0.2590196818152646
2024-03-22 12:00:00,2167.92,2176.23,2165.19,2174.53,65800.00000000381,0.30351253488321017
2024-03-22 16:00:00,2174.55,2180.15,2161.64,2162.63,-119000.0000000009,-0.5472446919564278
2024-03-22 20:00:00,2162.66,2167.18,2157.1,2165.09,24600.000000000364,0.11375038725995879
2024-03-25 00:00:00,2163.43,2169.42,2163.36,2165.53,4400.000000000546,0.02032248082066701
2024-03-25 04:00:00,2165.5,2178.33,2163.95,2169.38,38499.99999999909,0.17778557674101858
2024-03-25 08:00:00,2169.39,2171.03,2163.55,2165.72,-36600.00000000309,-0.16871179784087031
2024-03-25 12:00:00,2165.73,2177.06,2164.37,2174.51,87900.00000000419,0.4058696415049301
2024-03-25 16:00:00,2174.53,2181.28,2172.98,2175.8,12899.999999999636,0.059323709709313555
2024-03-25 20:00:00,2175.79,2176.65,2170.68,2171.92,-38800.00000000109,-0.17832521371450305
2024-03-26 00:00:00,2171.53,2174.5,2171.03,2173.86,19400.000000000546,0.08932189030903537
2024-03-26 04:00:00,2173.89,2174.23,2167.63,2172.28,-15799.999999999272,-0.07268177343526805
2024-03-26 08:00:00,2172.21,2179.26,2169.57,2178.32,60399.999999999636,0.27804887031137593
2024-03-26 12:00:00,2178.31,2200.09,2178.31,2187.91,95899.99999999691,0.4402475302067499
2024-03-26 16:00:00,2188.01,2192.91,2171.67,2176.8,-111099.99999999673,-0.5077905398302329
2024-03-26 20:00:00,2176.8,2179.81,2174.72,2179.73,29299.999999998363,0.13460124954061126
2024-03-27 00:00:00,2177.51,2180.14,2176.47,2177.41,-23200.000000001637,-0.10643520069000267
2024-03-27 04:00:00,2177.36,2181.68,2173.46,2178.38,9700.000000002547,0.044548339541017334
2024-03-27 08:00:00,2178.37,2182.68,2175.71,2177.38,-10000.0,-0.045905673023072247
2024-03-27 12:00:00,2177.35,2197.63,2176.54,2186.1,87199.99999999799,0.40048131240297824
2024-03-27 16:00:00,2186.11,2195.21,2183.56,2192.46,63600.00000000127,0.2909290517359775
